step,scored,puck_x,puck_y,puck_vx,puck_vy
68258,0,180.77,513.32,77.39,585.98
68418,0,114.09,504.60,453.23,732.88
69385,1,169.65,33.10,-135.29,-842.05
69893,0,120.33,515.93,245.08,671.61
70776,0,194.48,514.86,313.34,807.66
70885,1,186.85,34.36,315.17,-854.13
71002,0,194.61,516.63,-346.58,48.87
71915,0,181.65,514.87,-491.58,658.62
72745,0,137.32,514.22,-10.20,932.68
72993,0,198.05,508.11,-264.02,898.49
74172,0,187.14,512.05,-669.87,332.85
75089,1,133.85,29.55,-322.29,-351.92
75149,1,118.33,24.46,232.07,-818.01
75789,1,135.11,35.42,-136.28,-838.01
75868,1,187.87,28.36,645.60,-535.60
76088,0,121.77,503.12,62.29,926.30
77098,0,139.18,516.92,94.50,141.60
78116,1,156.29,28.85,422.16,-564.53
78170,1,126.96,29.09,53.43,-712.96
78288,1,189.01,25.45,-318.64,-132.27
78344,1,117.73,34.33,615.51,566.33
78421,1,196.72,27.12,338.53,-885.94
78469,0,184.50,516.04,650.80,406.05
79310,0,166.71,513.74,-846.57,253.26
80389,1,156.04,26.99,566.95,-423.26
80487,0,184.83,513.58,580.17,229.79
81550,1,167.16,28.93,-569.68,-454.29
81586,0,194.75,506.32,-664.39,619.58
83516,1,124.75,25.70,10.00,-234.77
83736,0,201.18,516.17,-651.01,76.50
84620,1,182.70,38.01,-6.24,-941.15
84768,0,167.98,509.94,377.99,391.55
84856,1,139.26,23.29,710.23,-404.81
84885,0,200.44,500.85,40.56,932.48
86315,1,156.55,28.46,12.86,-586.25
86382,1,154.03,38.39,139.05,-853.19
86560,1,173.35,27.20,-512.21,-544.53
86620,1,117.86,29.08,227.16,-819.68
86649,0,134.66,512.21,-93.43,928.05
88278,0,151.70,515.98,-45.18,931.64
89169,0,196.51,509.80,177.73,756.65
89340,1,211.52,26.98,-852.76,-242.24
89538,0,182.01,499.93,102.09,927.76
90506,0,171.23,507.92,163.48,773.85
91465,1,186.58,32.96,566.61,-749.54
91889,1,129.20,29.15,756.07,-480.25
91963,1,176.67,25.89,-141.43,-844.50
92039,1,136.30,38.29,336.79,-873.82
92213,0,155.48,515.47,-438.80,224.83
92291,1,196.41,25.17,230.07,-282.92
92416,0,128.60,510.53,227.63,902.61
92883,0,138.55,507.69,616.25,599.63
95531,1,178.70,25.52,248.30,-914.35
95689,1,150.96,31.47,453.89,-513.42
96085,0,166.13,507.33,370.94,855.81
96190,0,125.90,509.35,732.58,391.84
97957,1,173.23,24.69,322.89,-337.53
98267,0,131.57,510.61,-648.98,539.33
99285,1,188.00,32.41,-181.69,-931.17
99315,0,118.45,513.09,-69.06,930.18
101853,1,142.32,32.37,247.17,-895.53
101897,1,205.03,39.98,-52.95,-930.61
101975,1,136.54,27.20,678.51,-384.94
102092,1,139.83,33.57,-166.72,-841.22
102148,1,170.83,34.84,392.35,-832.40
102392,1,178.26,23.82,135.21,-395.26
102434,0,161.08,511.72,-654.41,631.49
102500,1,128.98,24.10,-499.95,-275.18
102667,1,134.54,33.23,3.19,-941.48
102924,1,196.99,29.24,-438.80,-671.77
102964,0,131.68,511.45,812.49,355.50
103105,1,125.80,38.20,-187.43,-833.16
103360,0,135.07,514.33,379.32,651.85
104296,1,150.49,30.97,209.34,-606.34
104760,1,123.32,25.22,789.62,-238.83
105004,0,163.06,513.30,233.06,901.55
108327,1,196.87,28.21,528.01,-625.52
108377,0,163.48,509.84,379.70,464.61
109207,0,181.29,504.79,162.85,918.73
111677,1,161.18,30.08,-15.96,-358.33
111758,1,136.93,26.77,-496.32,-329.93
111972,0,175.19,510.88,136.30,938.89
112857,1,171.93,26.05,-344.36,-541.61
112968,1,138.50,28.29,263.70,-886.30
113168,0,122.21,516.39,68.53,933.34
113379,0,162.45,515.18,451.32,624.32
114758,0,185.49,512.53,-280.76,882.31
116488,0,164.92,512.12,-275.79,260.50
116553,1,203.44,23.36,-253.49,-787.67
116903,0,165.49,516.68,-705.61,633.25
117045,1,199.51,23.19,-415.45,-828.11
117082,0,136.87,513.40,773.70,446.68
118760,1,133.95,26.99,-103.18,-324.31
119058,0,142.91,515.24,-676.06,182.20
120113,0,173.93,514.58,148.23,764.08
124608,0,185.53,516.62,385.62,849.63
127052,1,135.34,24.92,-146.39,-920.86
127167,1,194.80,38.31,149.79,-920.32
127676,0,147.17,511.48,-474.51,328.52
129124,0,181.69,514.70,-205.25,158.68
130856,1,161.23,27.62,514.99,-599.66
131158,1,183.80,28.94,-411.39,-348.63
131377,1,145.18,28.58,-708.00,-432.65
131652,1,123.32,26.86,-200.86,-441.77
131994,0,161.28,512.51,665.75,407.42
134445,1,176.10,26.89,543.06,-426.68
134931,1,117.62,32.53,226.59,-745.06
135039,0,174.44,515.78,-242.02,386.56
136366,1,167.84,26.66,364.68,-393.56
136439,1,187.39,28.35,233.05,-830.49
136694,0,164.78,516.63,-370.96,841.71
137701,1,138.01,31.59,519.99,-589.79
137775,1,156.89,32.64,-499.73,-592.85
137820,0,126.87,511.15,377.47,514.39
139126,1,113.91,28.28,617.67,-589.26
139448,0,177.76,511.62,-256.28,887.46
140450,1,196.99,28.35,-649.83,-636.36
140605,1,189.30,33.20,-675.93,-607.93
140798,0,169.97,512.71,-743.80,218.42
142146,0,127.68,512.21,193.70,620.55
143307,0,203.20,503.00,-193.11,715.46
144370,1,205.69,34.18,-505.11,-579.46
144468,0,130.50,505.43,501.30,617.38
145409,1,123.63,26.82,149.99,-241.96
145714,0,182.51,513.37,579.70,320.44
146559,1,166.91,25.22,692.86,-575.13
146691,0,120.86,513.62,15.29,934.48
147742,1,139.40,23.10,-222.69,-805.21
147788,0,161.53,505.78,463.65,804.01
151075,1,112.18,23.00,6.27,892.68
151144,1,178.95,32.43,504.72,-667.37
151628,0,128.73,515.60,-660.13,601.08
152797,1,128.87,25.00,585.61,-278.69
153018,1,184.43,24.17,399.61,-418.25
153055,0,194.58,512.36,78.82,699.83
153918,0,123.31,510.87,-317.37,340.14
156549,0,165.37,515.18,432.35,307.50
159024,0,137.03,504.77,275.50,763.28
161024,1,125.62,27.51,-150.64,-442.98
161326,0,164.86,508.51,-547.38,464.03
162973,1,147.81,33.38,-529.19,-739.01
163403,0,135.15,519.15,-1379.37,923.98
164819,1,147.10,28.23,-273.91,-609.28
164862,0,143.95,510.75,-23.38,566.15
166644,0,132.90,506.35,276.71,883.76
167928,1,157.20,28.13,-262.00,-811.90
167982,1,140.14,24.97,415.52,-273.23
168077,1,178.80,27.36,504.23,-599.99
168441,0,180.06,507.92,218.39,833.87
170087,1,131.19,26.38,-525.15,-741.88
170261,0,116.51,515.72,283.97,145.96
171151,0,185.49,504.12,514.61,696.02
172251,1,149.90,23.58,-645.41,-314.86
172318,0,176.95,508.61,696.06,578.38
173373,0,124.84,509.25,322.53,524.32
174388,1,166.74,25.05,-186.49,-637.76
174522,1,197.30,28.29,-551.48,-404.48
174627,1,187.95,25.48,-776.35,-277.16
174676,1,195.13,26.38,582.60,-687.90
175067,1,182.21,30.69,755.09,-573.36
175383,1,122.30,23.71,-307.66,-312.41
175995,1,205.00,26.25,-473.63,-657.11
176120,1,201.64,28.94,-90.40,-849.27
176295,0,188.94,507.05,-272.09,883.42
177181,0,188.64,504.46,536.09,632.96
178103,0,189.62,500.13,318.47,881.00
180201,1,176.08,23.35,761.70,-465.70
180942,0,141.10,501.96,118.58,940.02
184192,1,167.54,27.52,-644.17,-641.92
184474,0,130.32,512.41,-102.93,941.23
