step,ep_return_mean,ep_length_mean,q_loss,pi_loss,alpha,entropy
415000,1.7461,532.35,0.1313,-1.6333,0.0498,0.6513
420000,2.2161,499.35,0.4876,-1.6385,0.0498,0.5271
425000,1.1618,506.05,0.2385,-1.9914,0.0498,0.5144
430000,0.0244,646.20,0.2505,-2.2839,0.0498,0.5916
435000,-0.9896,523.60,0.2058,-1.2713,0.0498,0.5165
440000,-1.9575,531.55,0.4355,-1.8724,0.0498,0.6219
445000,-3.4708,566.95,0.5771,-1.8745,0.0498,0.5445
450000,-2.4450,568.60,0.5812,-1.7616,0.0498,0.7087
455000,-2.5058,515.85,0.2647,-1.8298,0.0498,0.6770
460000,-2.0153,594.80,0.2573,-2.1532,0.0498,0.5972
465000,-1.1722,580.30,0.1470,-1.8204,0.0498,0.6265
470000,-1.2213,576.25,0.3550,-2.1389,0.0498,0.7324
475000,-0.4129,509.80,0.4960,-1.7669,0.0498,0.5783
480000,1.1510,496.40,0.2190,-2.4292,0.0498,0.6929
485000,-0.3374,587.65,0.5751,-1.8533,0.0498,0.4985
490000,-1.4202,651.55,0.1297,-1.8515,0.0498,0.6745
495000,-0.4974,491.20,0.2633,-1.9113,0.0498,0.5631
500000,1.6396,390.55,0.2346,-2.2419,0.0498,0.6911
505000,1.5901,517.85,0.3172,-2.2889,0.0498,0.6280
510000,3.2449,534.20,0.2884,-1.7085,0.0498,0.5694
515000,1.3134,493.25,0.1669,-2.0179,0.0498,0.6099
520000,-1.3303,621.55,0.3878,-1.5437,0.0498,0.6626
525000,2.7479,395.95,0.3291,-1.9199,0.0498,0.6365
530000,2.6476,398.80,0.2627,-1.9594,0.0498,0.6189
535000,-0.3359,568.50,0.1777,-1.7193,0.0498,0.6223
540000,-2.4060,611.00,0.1654,-2.0996,0.0498,0.6651
545000,0.7116,530.10,0.2700,-1.7307,0.0498,0.6325
550000,0.7414,492.65,0.3039,-1.9688,0.0498,0.6014
555000,2.0990,358.05,0.2671,-1.8014,0.0498,0.6775
560000,0.1470,424.65,0.4361,-1.9127,0.0498,0.5853
565000,2.0451,433.30,0.2299,-2.0567,0.0498,0.6950
570000,3.7262,317.85,0.1424,-1.9909,0.0498,0.6444
575000,0.5876,438.55,0.3888,-1.8719,0.0498,0.7056
580000,-0.5070,488.95,0.4645,-1.6502,0.0498,0.5246
585000,-0.0148,392.00,0.4645,-1.7175,0.0498,0.4591
590000,1.0199,404.75,0.2897,-1.8348,0.0498,0.8479
595000,0.0618,487.80,0.4144,-1.6403,0.0498,0.7773
600000,-0.4375,510.15,0.1985,-1.8716,0.0498,0.6914
605000,0.1811,478.00,0.4748,-1.9288,0.0498,0.5677
610000,0.1588,468.75,0.8614,-2.1618,0.0498,0.6968
615000,-0.4942,507.20,0.2190,-1.7066,0.0498,0.6702
620000,0.5202,523.75,0.1655,-1.9430,0.0498,0.6637
625000,-0.4847,511.20,0.6634,-1.7676,0.0498,0.5883
630000,2.1566,476.55,0.9148,-1.7991,0.0498,0.7316
635000,3.2574,393.95,0.6404,-2.0115,0.0498,0.7750
640000,0.2865,501.20,0.1820,-1.7534,0.0498,0.6816
645000,-0.8822,598.50,0.1392,-1.4622,0.0498,0.6557
650000,0.7139,547.85,0.2764,-1.9771,0.0498,0.7017
655000,1.2221,511.70,0.1673,-2.0238,0.0498,0.7639
660000,-0.4972,554.15,0.6107,-1.5104,0.0498,0.6064
665000,1.1620,478.75,0.6240,-1.6740,0.0498,0.7454
670000,-0.3313,499.00,0.1390,-2.2085,0.0498,0.7892
675000,-2.3752,577.05,0.1444,-2.1134,0.0498,0.5817
680000,-0.3014,492.50,0.2593,-1.4898,0.0498,0.7451
685000,0.6527,413.75,0.7843,-1.8734,0.0498,0.5528
690000,4.6185,414.00,0.3484,-1.8706,0.0498,0.8744
695000,2.0343,440.50,0.2312,-1.8097,0.0498,0.6541
700000,-1.4637,567.60,0.2736,-1.8708,0.0498,0.7099
705000,-2.4452,640.50,0.2267,-2.0848,0.0498,0.7148
710000,-2.5143,502.10,0.7313,-1.8913,0.0498,0.8495
715000,-0.4410,456.55,0.1795,-2.0178,0.0498,0.8383
720000,0.9066,396.30,0.1938,-1.7396,0.0498,0.7627
725000,0.3057,470.50,0.3515,-1.4889,0.0498,0.7091
730000,0.0868,579.65,0.1749,-1.2240,0.0498,0.6813
735000,-1.4081,637.35,0.1893,-1.8595,0.0498,0.7069
740000,0.2202,565.45,0.2149,-1.5950,0.0498,0.7199
745000,1.1524,488.25,0.3908,-1.9203,0.0498,0.6439
750000,-1.0122,522.75,0.7109,-1.4864,0.0498,0.6552
755000,-0.9285,481.85,0.3251,-1.8438,0.0498,0.6323
760000,0.2067,519.05,0.2190,-1.7206,0.0498,0.6959
765000,3.3245,454.40,0.2054,-2.1606,0.0498,0.7062
770000,3.2652,468.95,0.3918,-1.8646,0.0498,0.7161
775000,2.6153,391.00,0.1851,-1.6337,0.0498,0.8242
780000,3.3332,365.15,0.3305,-1.7360,0.0498,0.7153
785000,-0.2195,530.40,0.1867,-1.8326,0.0498,0.8280
790000,-0.2726,546.80,0.4391,-2.1248,0.0498,0.7660
795000,-1.4821,607.05,0.2554,-2.0839,0.0498,0.8043
800000,0.6086,464.50,0.2019,-1.8167,0.0498,0.7533
805000,2.8338,375.50,0.3722,-1.7660,0.0498,0.7864
810000,2.3168,485.00,0.2076,-1.6346,0.0498,0.8354
815000,1.9365,550.90,0.3639,-1.8549,0.0498,0.7808
820000,2.2983,549.05,0.2368,-1.8416,0.0498,0.7083
825000,1.2352,510.75,0.1935,-1.7559,0.0498,0.7452
830000,0.3128,472.05,0.4409,-1.6193,0.0498,0.6930
835000,-1.1861,584.50,0.2563,-1.8330,0.0498,0.8327
840000,0.2180,553.35,0.1667,-1.6238,0.0498,0.8759
845000,0.6825,626.05,0.1294,-1.8073,0.0498,0.8107
850000,0.7279,587.50,0.2041,-1.7000,0.0498,0.8425
855000,1.7988,464.30,0.1368,-1.3199,0.0498,0.7548
860000,0.2029,554.30,0.2099,-1.6052,0.0498,0.8057
865000,1.4509,530.10,0.2673,-1.7526,0.0498,0.7934
870000,0.9026,514.85,1.0319,-1.8887,0.0498,0.8305
875000,-0.4269,541.75,0.1798,-1.8674,0.0498,0.8038
880000,0.5986,609.65,0.1482,-1.8978,0.0498,0.7949
885000,0.5300,591.45,0.2119,-2.3487,0.0498,0.8457
890000,0.5444,646.55,0.1813,-2.1142,0.0498,0.8452
895000,0.1085,579.25,0.2609,-2.1412,0.0498,0.8439
900000,-0.4187,633.15,0.2003,-2.1663,0.0498,0.8347
905000,-1.4133,608.00,0.2815,-2.3069,0.0498,0.8525
910000,-0.3146,526.05,0.1812,-1.9232,0.0498,0.9191
915000,0.6479,475.55,0.1721,-1.9284,0.0498,0.8293
920000,0.5694,466.75,0.4185,-2.1592,0.0498,0.8332
925000,0.7162,462.30,0.2331,-2.4772,0.0498,0.7728
930000,0.9431,495.50,0.2569,-2.1048,0.0498,0.7521
935000,2.4814,450.00,0.1505,-2.3970,0.0498,0.8053
940000,1.7524,434.35,0.1788,-1.7380,0.0498,0.9310
945000,0.5549,524.35,0.6452,-2.5215,0.0498,0.8382
950000,-2.5401,585.60,0.1791,-2.5257,0.0498,0.9939
955000,-0.4637,446.85,0.6568,-2.4435,0.0498,0.9258
960000,4.3049,369.60,0.3868,-2.4514,0.0498,0.8993
965000,4.9767,403.05,0.2851,-2.5110,0.0498,0.9677
970000,1.6554,436.90,0.2155,-1.9342,0.0498,0.9257
975000,1.1777,483.55,0.3432,-2.2437,0.0498,0.9048
980000,2.2318,537.80,0.1503,-2.5824,0.0498,0.9341
985000,2.0511,510.70,0.1208,-2.2648,0.0498,0.9720
990000,1.1098,561.00,0.2909,-2.4444,0.0498,0.9430
995000,2.9795,458.00,0.5621,-2.3823,0.0498,0.9176
1000000,0.3955,437.20,0.1773,-2.2929,0.0498,0.9459
1005000,-1.9432,512.20,0.2599,-2.5098,0.0498,0.9561
1010000,-3.5096,609.30,0.3530,-2.8418,0.0498,0.8538
1015000,-1.4378,618.35,0.3452,-2.2990,0.0498,0.9432
1020000,1.6071,542.05,0.2241,-2.2837,0.0498,0.9112
1025000,3.7458,351.05,0.1547,-2.0277,0.0498,0.8426
1030000,1.1848,429.35,0.2984,-2.2233,0.0498,0.8958
1035000,0.1266,422.80,0.1464,-2.1564,0.0498,0.8338
